Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C4, C5, C6, C7, C8, C9",0603,10,100nF,
"C13, C14, C15",0603,3,0.1uF,
"C16, C17, C18",0603,3,10uF,
"C19, C2, C20, C21, C22, C3",0603,6,1uF,
D1,D_SOD-123,1,1N5817,
D2,D_SOD-123,1,1N4148W,
"IC1, IC10, IC2, IC3, IC4, IC5, IC6, IC7, IC8, IC9",ADAFRUIT_SK6812_SIDE_4691,10,4691,
IC11,SOP50P490X110-10N,1,DRV2605LDGSR,
J3,SAMESKY_UJ20-C-H-G-SMT-1-P16-TR,1,UJ20-C-H-G-SMT-1-P16-TR,
"LED1, LED2",LEDC1608X55N,2,IN-S63BTG,
LS1,CMT752503SMTTR,1,CMT-7525-03-SMT-TR,
P1,JST_S2B-PH-SM4-TB,1,S2B-PH-SM4-TB,
Q1,SOT-23,1,DMN2058U,
R1,0603,1,220R,
"R10, R11, R12, R13, R14, R16, R19, R20, R5, R6, R9",0603,11,10K,
"R15, R17, R2, R21, R3, R4",0603,6,1K,
R18,0603,1,10R,
"R7, R8",0603,2,5.1K,
"S1, S3",SW_TS11-674-50-BK-160-RA-D,2,TS11-674-50-BK-160-RA-D,
S4,SW_SLW-864574-5A-RA-N-D,1,SLW-864574-5A-RA-N-D,
TP1,TestPoint_Pad_D2.0mm,1,RGB_LED_DIN_TP,
TP10,TestPoint_Pad_D2.0mm,1,HAP_SCL_TP,
TP11,TestPoint_Pad_D2.0mm,1,HAP_SDA_TP,
TP12,TestPoint_Pad_D2.0mm,1,HAP_PWM_IN_TP,
TP13,TestPoint_Pad_D2.0mm,1,BUZZ_PWM_IN_TP,
TP14,TestPoint_Pad_D2.0mm,1,FG_ALERT_TP,
TP15,TestPoint_Pad_D2.0mm,1,BUZZ_POS_TP,
TP16,TestPoint_Pad_D2.0mm,1,BUZZ_NEG_TP,
TP2,TestPoint_Pad_D2.0mm,1,RGB_LED_VIN_TP,
TP3,TestPoint_Pad_D2.0mm,1,FG_VIN_TP,
TP4,TestPoint_Pad_D2.0mm,1,CRYPTO_VIN_TP,
TP5,TestPoint_Pad_D2.0mm,1,FG_SCL_TP,
TP6,TestPoint_Pad_D2.0mm,1,FG_SDA_TP,
TP7,TestPoint_Pad_D2.0mm,1,CRYPTO_SCL_TP,
TP8,TestPoint_Pad_D2.0mm,1,CRYPTO_SDA_TP,
TP9,TestPoint_Pad_D2.0mm,1,HAP_VIN_TP,
U1,XIAO-ESP32-S3-SMD,1,XIAO-ESP32-S3-SMD,
U2,DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,1,ATECC608A-MAHDA,
U3,SON50P200X200X80-9N,1,MAX17048G_T10,
