Designator,Mid X,Mid Y,Rotation,Layer
C1,108.10988,-143.60988,315.0,top
C10,151.288,-117.39,90.0,top
C11,149.509508,-142.859992,45.0,top
C12,130.3805,-143.25,0.0,top
C13,133.3625,-104.0,0.0,top
C14,123.6125,-104.0,0.0,top
C15,115.1375,-104.0,0.0,top
C16,133.3625,-107.0,0.0,top
C17,123.6125,-107.0,0.0,top
C18,115.1375,-107.0,0.0,top
C19,133.89,-65.8875,90.0,top
C2,103.8875,-110.0,180.0,top
C20,136.75,-65.8875,90.0,top
C21,117.243,-124.75,90.0,top
C22,113.243,-128.5,0.0,top
C3,148.1375,-111.525,180.0,top
C4,106.5,-119.8875,270.0,top
C5,106.5,-90.8625,270.0,top
C6,106.35988,-66.39012,225.0,top
C7,127.6375,-64.5,180.0,top
C8,149.60988,-64.35988,135.0,top
C9,151.319876,-87.895838,90.0,top
D1,144.85925,-144.1375,270.0,top
D2,122.75,-69.75,0.0,top
IC1,105.44429,-144.44429,315.0,top
IC10,129.0,-145.75,0.0,top
IC11,140.25,-71.5,0.0,top
IC2,104.0,-118.487,270.0,top
IC3,103.992,-89.492,270.0,top
IC4,105.612746,-63.637254,225.0,top
IC5,128.992,-62.0,180.0,top
IC6,152.444997,-63.444997,135.0,top
IC7,153.75,-89.25,90.0,top
IC8,153.75,-118.75,90.0,top
IC9,152.009508,-144.240492,45.0,top
J3,138.25,-149.85,0.0,top
JP1,104.75,-131.4,90.0,top
JP10,129.17,-88.95,90.0,top
JP11,138.33,-88.95,90.0,top
JP12,130.39,-82.0,90.0,top
JP13,139.55,-82.0,90.0,top
JP14,134.65,-73.5,0.0,top
JP15,142.5,-105.1,270.0,top
JP16,110.31,-95.95,90.0,top
JP17,117.22,-88.95,90.0,top
JP18,118.44,-82.0,90.0,top
JP19,117.93,-95.95,90.0,top
JP2,104.75,-127.65,90.0,top
JP20,124.84,-88.95,90.0,top
JP21,126.06,-82.0,90.0,top
JP22,104.5625,-78.25,0.0,top
JP23,140.0,-66.75,180.0,top
JP24,114.675,-110.5,90.0,top
JP25,120.6,-66.4,90.0,top
JP26,124.25,-66.4,90.0,top
JP27,109.243,-124.25,0.0,top
JP3,126.6,-142.75,180.0,top
JP4,150.25,-122.5,90.0,top
JP5,136.75,-105.1,270.0,top
JP6,127.0,-105.5,90.0,top
JP7,118.3875,-105.35,270.0,top
JP8,122.26,-95.95,90.0,top
JP9,131.42,-95.95,90.0,top
LED1,121.75,-146.25,90.0,top
LED2,116.925,-110.5,90.0,top
LS1,113.925,-63.925,270.0,top
P1,108.5,-137.5,270.0,top
Q1,109.0,-72.8,180.0,top
R1,103.25,-138.5875,270.0,top
R10,113.41,-88.95,90.0,top
R11,114.63,-82.0,90.0,top
R12,114.12,-95.95,270.0,top
R13,121.03,-88.95,270.0,top
R14,122.25,-82.0,90.0,top
R15,134.8,-69.9,0.0,top
R16,113.493,-122.0,0.0,top
R17,104.6,-74.8,0.0,top
R18,111.8125,-70.0,180.0,top
R19,104.525,-71.55,0.0,top
R2,107.8875,-110.0,180.0,top
R20,109.243,-120.5,0.0,top
R21,115.0,-113.5,0.0,top
R3,152.1375,-111.525,0.0,top
R4,124.0,-146.0875,270.0,top
R5,136.75,-137.0,180.0,top
R6,140.1625,-137.0,180.0,top
R7,136.52175,-140.25,180.0,top
R8,141.35925,-140.25,0.0,top
R9,106.5,-95.95,90.0,top
S1,149.3895,-104.0,90.0,top
S3,108.6105,-104.025,270.0,top
S4,115.5,-144.75,0.0,top
TP1,104.75,-135.0,90.0,top
TP10,134.97,-82.0,90.0,top
TP11,144.13,-82.0,90.0,top
TP12,134.25,-77.75,0.0,top
TP13,103.75,-84.0,270.0,top
TP14,109.243,-128.5,0.0,top
TP15,120.75,-61.75,0.0,top
TP16,124.25,-61.75,0.0,top
TP2,104.75,-124.25,90.0,top
TP3,116.993,-121.25,0.0,top
TP4,141.75,-97.0,0.0,top
TP5,126.84,-95.95,90.0,top
TP6,136.0,-95.95,90.0,top
TP7,133.75,-88.95,90.0,top
TP8,142.91,-88.95,90.0,top
TP9,143.5,-66.75,0.0,top
U1,130.549,-125.4175,270.0,top
U2,145.75,-94.375,90.0,top
U3,113.608,-125.0525,180.0,top
